articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
1-1-2015_PS,1,1,df,0,MATCH,NA
1-1-2015_PS,156,156,df,0,MATCH,NA
1-1-2015_PS,4.48,4.48,F,0,MATCH,NA
1-1-2015_PS,<.05,0.0358060472541324,p,NA,MATCH,TRUE
1-1-2015_PS,158.61,158.61,mean,0,MATCH,NA
1-1-2015_PS,155.52,155.52,mean,0,MATCH,NA
1-1-2015_PS,1,1,df,0,MATCH,NA
1-1-2015_PS,156,156,df,0,MATCH,NA
1-1-2015_PS,4.73,4.73,F,0,MATCH,NA
1-1-2015_PS,<.05,0.0311997782370215,p,NA,MATCH,TRUE
1-1-2015_PS,1648.37,1648.37,mean,0,MATCH,NA
1-1-2015_PS,1425.02,1425.02,mean,0,MATCH,NA
1-1-2015_PS,<1,2.21180173475592,F,NA,MAJOR_ERROR,FALSE
1-1-2015_PS,>.05,0.13897706909534,p,NA,MATCH,TRUE
1-1-2015_PS,59.34,59.34,mean,0,MATCH,NA
1-1-2015_PS,58.67,58.67,mean,0,MATCH,NA
1-1-2015_PS,1,1,df,0,MATCH,NA
1-1-2015_PS,156,156,df,0,MATCH,NA
1-1-2015_PS,4.66,4.66,F,0,MATCH,NA
1-1-2015_PS,<.05,0.0323646081085786,p,NA,MATCH,TRUE
1-1-2015_PS,196.73,196.73,mean,0,MATCH,NA
1-1-2015_PS,183.48,183.48,mean,0,MATCH,NA
1-1-2015_PS,<1,0.00191917382218505,F,NA,MATCH,TRUE
1-1-2015_PS,>.05,0.965113174681674,p,NA,MATCH,TRUE
1-1-2015_PS,1129.39,1129.38,mean,0.000885433729711694,MINOR_ERROR,NA
1-1-2015_PS,1128.81,1128.81,mean,0,MATCH,NA
1-1-2015_PS,<1,0.470511054159191,F,NA,MATCH,TRUE
1-1-2015_PS,>.05,0.49377031497622,p,NA,MATCH,TRUE
1-1-2015_PS,42170.78,42170.78,mean,0,MATCH,NA
1-1-2015_PS,43654.54,43654.54,mean,0,MATCH,NA
1-6-2014_PS,-0.006,-0.006,mean,0,MATCH,NA
1-6-2014_PS,0.05,0.01,mean,80,MAJOR_ERROR,NA
1-6-2014_PS,1,1,sd,0,MATCH,NA
1-6-2014_PS,1.01,1.01,sd,0,MATCH,NA
1-6-2014_PS,-0.178,-0.178,mean,0,MATCH,NA
1-6-2014_PS,0.162,0.162,mean,0,MATCH,NA
1-6-2014_PS,0.9,0.9,sd,0,MATCH,NA
1-6-2014_PS,1.07,1.07,sd,0,MATCH,NA
1-6-2014_PS,1,1,df,0,MATCH,NA
1-6-2014_PS,4.01,4.01,df,0,MATCH,NA
1-6-2014_PS,0.046,0.046,F,0,MATCH,NA
1-6-2014_PS,0.841,0.841,p,0,MATCH,NA
1-6-2014_PS,1,1,df,0,MATCH,NA
1-6-2014_PS,4.09,4.09,df,0,MATCH,NA
1-6-2014_PS,8.05,8.05,F,0,MATCH,NA
1-6-2014_PS,0.046,0.046,p,0,MATCH,NA
1-6-2014_PS,0.66,0.66,other,0,MATCH,NA
1-6-2014_PS,4,4,df,0,MATCH,NA
1-6-2014_PS,4,4,df,0,MATCH,NA
1-6-2014_PS,7.11,7.11,F,0,MATCH,NA
1-6-2014_PS,0.042,0.042,p,0,MATCH,NA
1-6-2014_PS,0.88,0.88,other,0,MATCH,NA
1-6-2014_PS,4,4,df,0,MATCH,NA
1-6-2014_PS,55,55,df,0,MATCH,NA
1-6-2014_PS,0.259,0.259,F,0,MATCH,NA
1-6-2014_PS,0.9,0.9,p,0,MATCH,NA
10-7-2014_PS,0.851,0.852,mean,0.117508813160987,MINOR_ERROR,NA
10-7-2014_PS,0.528,0.528,sd,0,MATCH,NA
10-7-2014_PS,0.654,0.654,mean,0,MATCH,NA
10-7-2014_PS,0.488,0.489,sd,0.204918032786885,MINOR_ERROR,NA
10-7-2014_PS,0.703,0.704,mean,0.142247510668563,MINOR_ERROR,NA
10-7-2014_PS,0.594,0.594,sd,0,MATCH,NA
10-7-2014_PS,0.773,0.774,mean,0.129366106080207,MINOR_ERROR,NA
10-7-2014_PS,0.583,0.583,sd,0,MATCH,NA
10-7-2014_PS,1,1,df,0,MATCH,NA
10-7-2014_PS,282,282,df,0,MATCH,NA
10-7-2014_PS,4.22,4.22,F,0,MATCH,NA
10-7-2014_PS,0.041,0.041,p,0,MATCH,NA
10-7-2014_PS,0.014,0.015,pes,7.14285714285714,MINOR_ERROR,NA
10-7-2014_PS,0.387,0.387,d,0,MATCH,NA
10-7-2014_PS,0.027,0.027,p,0,MATCH,NA
10-7-2014_PS,<1.0,0.468758471254511,F,NA,MATCH,TRUE
11-11-2014_PS,6.07,6.07,mean,0,MATCH,NA
11-11-2014_PS,1.99,2,sd,0.502512562814071,MINOR_ERROR,NA
11-11-2014_PS,1.67,1.67,mean,0,MATCH,NA
11-11-2014_PS,0.92,0.92,sd,0,MATCH,NA
11-11-2014_PS,52,52,df,0,MATCH,NA
11-11-2014_PS,10.41,10.41,t,0,MATCH,NA
11-11-2014_PS,<.001,2.55398356726143e-14,p,NA,MATCH,TRUE
11-11-2014_PS,6,6,mean,0,MATCH,NA
11-11-2014_PS,1.96,1.96,sd,0,MATCH,NA
11-11-2014_PS,1.74,1.74,mean,0,MATCH,NA
11-11-2014_PS,1.19,1.2,sd,0.840336134453782,MINOR_ERROR,NA
11-11-2014_PS,52,52,df,0,MATCH,NA
11-11-2014_PS,9.63,9.63,t,0,MATCH,NA
11-11-2014_PS,0.001,0,p,100,MAJOR_ERROR,NA
11-11-2014_PS,3.05,3.05,mean,0,MATCH,NA
11-11-2014_PS,0.82,0.82,sd,0,MATCH,NA
11-11-2014_PS,2.8,2.8,mean,0,MATCH,NA
11-11-2014_PS,0.83,0.83,sd,0,MATCH,NA
11-11-2014_PS,52,52,df,0,MATCH,NA
11-11-2014_PS,1.09,1.09,t,0,MATCH,NA
11-11-2014_PS,0.283,0.283,p,0,MATCH,NA
11-11-2014_PS,1.34,1.34,mean,0,MATCH,NA
11-11-2014_PS,0.45,0.45,sd,0,MATCH,NA
11-11-2014_PS,1.27,1.27,mean,0,MATCH,NA
11-11-2014_PS,0.37,0.37,sd,0,MATCH,NA
11-11-2014_PS,52,52,df,0,MATCH,NA
11-11-2014_PS,0.6,0.6,t,0,MATCH,NA
11-11-2014_PS,0.554,0.554,p,0,MATCH,NA
11-11-2014_PS,1.36,1.36,mean,0,MATCH,NA
11-11-2014_PS,0.58,0.58,sd,0,MATCH,NA
11-11-2014_PS,1.11,1.11,mean,0,MATCH,NA
11-11-2014_PS,0.3,0.3,sd,0,MATCH,NA
11-11-2014_PS,52,52,df,0,MATCH,NA
11-11-2014_PS,1.97,1.97,t,0,MATCH,NA
11-11-2014_PS,0.054,0.054,p,0,MATCH,NA
11-11-2014_PS,2.67,2.67,mean,0,MATCH,NA
11-11-2014_PS,0.87,0.87,sd,0,MATCH,NA
11-11-2014_PS,2.37,2.38,mean,0.421940928270033,MINOR_ERROR,NA
11-11-2014_PS,0.91,0.91,sd,0,MATCH,NA
11-11-2014_PS,52,52,df,0,MATCH,NA
11-11-2014_PS,1.22,1.22,t,0,MATCH,NA
11-11-2014_PS,0.227,0.227,p,0,MATCH,NA
11-11-2014_PS,1,1,df,0,MATCH,NA
11-11-2014_PS,52,52,df,0,MATCH,NA
11-11-2014_PS,0.048,0.048,p,0,MATCH,NA
11-11-2014_PS,0.54,0.55,d,1.85185185185185,MINOR_ERROR,NA
11-11-2014_PS,3.71,3.71,mean,0,MATCH,NA
11-11-2014_PS,1.01,1.01,sd,0,MATCH,NA
11-11-2014_PS,3.33,3.32,ci,0.300300300300307,MINOR_ERROR,NA
11-11-2014_PS,4.09,4.11,ci,0.488997555012236,MINOR_ERROR,NA
11-11-2014_PS,3.14,3.14,mean,0,MATCH,NA
11-11-2014_PS,1.09,1.09,sd,0,MATCH,NA
11-11-2014_PS,2.73,2.71,ci,0.732600732600733,MINOR_ERROR,NA
11-11-2014_PS,3.55,3.57,ci,0.563380281690141,MINOR_ERROR,NA
11-12-2014 PS,10,10,n,0,MATCH,NA
11-12-2014 PS,61,61,n,0,MATCH,NA
11-12-2014 PS,16,16,n,0,MATCH,NA
11-12-2014 PS,26,26,n,0,MATCH,NA
11-12-2014 PS,71,71,n,0,MATCH,NA
11-12-2014 PS,37,37,n,0,MATCH,NA
11-12-2014 PS,1,1,df,0,MATCH,NA
11-12-2014 PS,132,132,n,0,MATCH,NA
11-12-2014 PS,6.77,6.77,x2,0,MATCH,NA
11-12-2014 PS,0.009,0.009,p,0,MATCH,NA
16-11-2014_PS,32,32,n,0,MATCH,NA
16-11-2014_PS,118,118,n,0,MATCH,NA
16-11-2014_PS,90,90,n,0,MATCH,NA
16-11-2014_PS,72,72,n,0,MATCH,NA
16-11-2014_PS,168,168,n,0,MATCH,NA
16-11-2014_PS,65.6,65.6,n,0,MATCH,NA
16-11-2014_PS,56,55.9,n,0.178571428571431,MINOR_ERROR,NA
16-11-2014_PS,55.6,55.6,n,0,MATCH,NA
16-11-2014_PS,25,25,n,0,MATCH,NA
16-11-2014_PS,39.8,39.8,n,0,MATCH,NA
16-11-2014_PS,32.2,32.2,n,0,MATCH,NA
16-11-2014_PS,53.1,53.1,n,0,MATCH,NA
16-11-2014_PS,48.3,48.3,n,0,MATCH,NA
16-11-2014_PS,37.8,37.8,n,0,MATCH,NA
16-11-2014_PS,37.5,37.5,n,0,MATCH,NA
16-11-2014_PS,41.5,41.5,n,0,MATCH,NA
16-11-2014_PS,42.2,42.2,n,0,MATCH,NA
16-11-2014_PS,62.5,62.5,n,0,MATCH,NA
16-11-2014_PS,54.8,54.8,n,0,MATCH,NA
16-11-2014_PS,30.6,30.6,n,0,MATCH,NA
16-11-2014_PS,36.9,36.9,n,0,MATCH,NA
16-11-2014_PS,50,50,n,0,MATCH,NA
16-11-2014_PS,42.9,42.9,n,0,MATCH,NA
16-11-2014_PS,40.3,40.3,n,0,MATCH,NA
16-11-2014_PS,41.7,41.7,n,0,MATCH,NA
16-11-2014_PS,100,100,n,0,MATCH,NA
16-11-2014_PS,85.7,85.7,n,0,MATCH,NA
16-11-2014_PS,72.3,72.3,n,0,MATCH,NA
16-11-2014_PS,68.2,68.2,n,0,MATCH,NA
16-11-2014_PS,65.5,65.5,n,0,MATCH,NA
16-11-2014_PS,78,78,n,0,MATCH,NA
16-11-2014_PS,77.3,77.3,n,0,MATCH,NA
16-11-2014_PS,75.6,75.6,n,0,MATCH,NA
16-11-2014_PS,71,71,n,0,MATCH,NA
16-11-2014_PS,73.9,73.9,n,0,MATCH,NA
16-2-2015_PS,0.34,0.34,mean,0,MATCH,NA
16-2-2015_PS,0.43,0.43,sd,0,MATCH,NA
16-2-2015_PS,0.3,0.3,mean,0,MATCH,NA
16-2-2015_PS,1.09,1.09,sd,0,MATCH,NA
16-2-2015_PS,7.18,7.18,mean,0,MATCH,NA
16-2-2015_PS,2.07,2.07,sd,0,MATCH,NA
16-2-2015_PS,6.69,6.69,mean,0,MATCH,NA
16-2-2015_PS,2.06,2.06,sd,0,MATCH,NA
16-2-2015_PS,0.03,0.03,mean,0,MATCH,NA
16-2-2015_PS,0.03,0.03,sd,0,MATCH,NA
16-2-2015_PS,0.03,0.05,r,66.6666666666667,MAJOR_ERROR,NA
16-2-2015_PS,-0.05,-0.04,ci,20,MAJOR_ERROR,NA
16-2-2015_PS,0.12,0.13,ci,8.33333333333334,MINOR_ERROR,NA
16-2-2015_PS,-0.01,0,r,100,MAJOR_ERROR,NA
16-2-2015_PS,-0.09,-0.09,ci,0,MATCH,NA
16-2-2015_PS,0.08,0.08,ci,0,MATCH,NA
16-2-2015_PS,-0.01,-0.01,r,0,MATCH,NA
16-2-2015_PS,-0.1,-0.1,ci,0,MATCH,NA
16-2-2015_PS,0.07,0.07,ci,0,MATCH,NA
16-2-2015_PS,-0.03,-0.02,r,33.3333333333333,MAJOR_ERROR,NA
16-2-2015_PS,-0.11,-0.1,ci,9.09090909090909,MINOR_ERROR,NA
16-2-2015_PS,0.06,0.07,ci,16.6666666666667,MAJOR_ERROR,NA
16-2-2015_PS,0,0.03,r,Inf,MAJOR_ERROR,NA
16-2-2015_PS,-0.09,-0.05,ci,44.4444444444444,MAJOR_ERROR,NA
16-2-2015_PS,0.08,0.12,ci,50,MAJOR_ERROR,NA
